BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,STATE,YEAR,MONTH_NAME,EVENT_TYPE,SOURCE,BEGINLOCATION,END_LOCATION,BEGINLAT,BEGINLON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,,,
200604,7,1515,200604,7,1515,INDIANA,2006,April,Wind,GENERAL PUBLIC,PATOKA,PATOKA,38.41667,-87.51667,38.33333,-87.35,,"At Wheeling, the windows were blown out of a church, and holes were in some vinyl siding. Between Wheeling and Patoka, a 50,000-bushel grain bin was blown over. The bin and three large propane tanks were blown about 75 feet, and some farm equipment was damaged. At Oakland City, there was damage to the metal roof of a golf course club house. About a half dozen trees were down in the same place.",PDS,,,
200601,12,2150,200601,12,2150,OKLAHOMA,2006,January,Rain,LAW ENFORCEMENT,IDABEL,IDABEL,33.9,-94.83333,33.9,-94.83333,,,PDS,,,
200601,12,2330,200601,12,2330,TEXAS,2006,January, Wind,LAW ENFORCEMENT,ATLANTA,ATLANTA,33.11667,-94.13333,33.11667,-94.13333,,Trees were downed.,PDS,,,
200601,13,2030,200601,13,2033,GEORGIA,2006,January,Tornado,NWS STORM SURVEY,WOODBINE,WOODBINE,30.91667,-81.65,30.91667,-81.65,"A weak F0 tornado touched down along I-95 about 5 miles southeast of Woodbine.  Many trees were snapped off in a swath along I-95.  A tractor-trailer was lifted and blown off of the interstate along the southbound lanes.  The driver sustained no reported injuries.  The tractor-trailer was carrying other cars, which were damaged in the accident from colliding with each other.  Another vehicle was hit by a snapped tree.  This driver also sustained no reported injuries.",,PDS,,,
200601,14,111,200601,14,111,NORTH CAROLINA,2006,January,Wind,LAW ENFORCEMENT,MAGNOLIA,MAGNOLIA,35.51667,-77.1,35.51667,-77.1,,Law enforcement reported trees down near Magnolia.,PDS,,,
200606,20,1840,200606,20,1840,COLORADO,2006,June,Wind,TRAINED SPOTTER,YUMA,YUMA,40.11667,-102.71667,40.11667,-102.71667,,Pea-sized hail also reported.,PDS,,,
200601,10,400,200601,10,400,MISSOURI,2006,January,Snow,LAW ENFORCEMENT,CASSVILLE,CASSVILLE,36.68333,-93.86667,36.68333,-93.86667,,,PDS,200601,10,400
200601,31,400,200601,31,2359,IDAHO,2006,January,Snow,TRAINED SPOTTER,SCHWITZER MOUNTAIN,IDAHO,48.347971,-116.599078,,,A Pacific winter storm moved through northern Idaho during the day of the 31st and into the day of February 1st. the storm brought heavy snow to the mountain locations above 3000 feet with 8 to 10 inches being reported. Schwitzer Mountain reported 9 inches while Lookout Pass ski resort reported 10 inches of new snow.,,PDS,200601,31,400
200601,2,802,200601,2,803,ILLINOIS,2006,January,Tornado,EMERGENCY MANAGER,OCONEE,OCONEE,39.26667,-89.11667,39.26667,-89.11667,,"A tornado briefly touched down, destroyed a 40' by 60' pole barn and blew down a few large tree limbs.  Debris from the tornado broke a window in a house on the property.",PDS,200601,2,802
200605,11,1200,200605,11,1800,WISCONSIN,2006,May,Wind,"AWOS,ASOS,MESONET,ETC",UNION GROVE,UNION GROVE,42.688074,-88.051473,,,"Strong northwest wind gusts of 39 to 43 knots (45 to 50 mph) affected south-central and southeast Wisconsin on May 11th, in the wake of an abnormally strong low pressure that tracked from the Texas Panhandle into Lower Michigan.  This resulted in scattered light tree damage and power outages.   In addition, there were two indirectly-related vehicle accident deaths.  In one case, a woman was killed as her son lost control of the vehicle on a wet road during a rain shower, which led to a head-on collision in the town of Grafton (Ozaukee Co.) around 0825CST (poor visibility and inattentiveness may have been factors, based on the police report).  Elsewhere, a man died in Fitchburg (Dane Co.) around 1500CST when he lost control of his vehicle trying to swerve from a large tree limb on the road, and hit another tree.  Some notable maximum wind gusts include 43 knots (50 mph) at Sheboygan North High School (Sheboygan Co. - Milwaukee TV-6 school net site), 42 knots at Madison Memorial High School (Dane Co. - Madison TV-15 school net site), and 41 knots (47 mph) at the ASOS units at both Milwaukee Mitchell Field (Milwaukee Co.) and the Sheboygan County Airport northwest of Sheboygan Falls.  Last, but not least, temperatures fell to unseasonably cold levels in the 30s during the afternoon.  A mix of rain and snow or all light snow resulted toward the tail end of a convective precipitation shield during the later afternoon and overnight hours.  Snow accumulations up to 1 inch occurred on top of 1716-foot high Blue Mound in eastern Iowa County, as well as in the higher, grassy areas in parts of Sauk, Dane, Jefferson, Walworth, and Waukesha counties.",,PDS,200605,11,1200
200605,21,1500,200605,21,1700,CALIFORNIA,2006,May,Rain,TRAINED SPOTTER,CHOWCHILLA,CHOWCHILLA,37.123,-120.260175,,,"As the transition from near record high temperatures, a vigorous frontal passage swept over Interior Central California from the southwest starting at mid-afternoon of the 21st bringing substantial cooling and rainfall. Through the course of the afternoon heavy rain generated north-to-south along an eastward moving rain band. Much of the heavy rain fell in less than a couple of hours. Avenal in Western Kings County had 1"" of rain in about an hour. Other reports of rainfall on the Central and northern portion of the Southern San Joaquin Valley included 1.59"" at Spanish Lake near Coalinga, 1.26"" at Tranquility, 1.43"" at Madera, 1.95"" at Chowchilla, and 1.07"" at Merced.",,PDS,200605,21,1500
